match_id,date,team,goals,xg,goals_c,xg_c
987592,11th Aug 2018,BOU,2,2.20,0,1.59
987592,11th Aug 2018,CAR,0,1.59,2,2.20
987593,12th Aug 2018,ARS,0,0.48,2,1.72
987593,12th Aug 2018,MCI,2,1.72,0,0.48
987594,11th Aug 2018,CRY,2,0.98,0,0.68
987594,11th Aug 2018,FUL,0,0.68,2,0.98
987595,11th Aug 2018,CHE,3,1.94,0,0.28
987595,11th Aug 2018,HUD,0,0.28,3,1.94
987596,12th Aug 2018,LIV,4,4.04,0,0.67
987596,12th Aug 2018,WHU,0,0.67,4,4.04
987597,10th Aug 2018,LEI,1,1.76,2,1.51
987597,10th Aug 2018,MUN,2,1.51,1,1.76
987598,11th Aug 2018,NEW,1,0.98,2,2.06
987598,11th Aug 2018,TOT,2,2.06,1,0.98
987599,12th Aug 2018,BUR,0,1.41,0,1.10
987599,12th Aug 2018,SOU,0,1.10,0,1.41
987600,11th Aug 2018,BHA,0,0.31,2,1.22
987600,11th Aug 2018,WAT,2,1.22,0,0.31
987601,11th Aug 2018,EVE,2,0.99,2,0.99
987601,11th Aug 2018,WOL,2,0.99,2,0.99
987602,19th Aug 2018,BHA,3,1.66,2,1.39
987602,19th Aug 2018,MUN,2,1.39,3,1.66
987603,19th Aug 2018,BUR,1,0.59,3,1.48
987603,19th Aug 2018,WAT,3,1.48,1,0.59
987604,18th Aug 2018,CAR,0,0.90,0,1.61
987604,18th Aug 2018,NEW,0,1.61,0,0.90
987605,18th Aug 2018,ARS,2,2.39,3,1.62
987605,18th Aug 2018,CHE,3,1.62,2,2.39
987606,20th Aug 2018,CRY,0,0.41,2,2.60
987606,20th Aug 2018,LIV,2,2.60,0,0.41
987607,18th Aug 2018,EVE,2,1.51,1,1.76
987607,18th Aug 2018,SOU,1,1.76,2,1.51
987608,18th Aug 2018,LEI,2,0.22,0,1.11
987608,18th Aug 2018,WOL,0,1.11,2,0.22
987609,19th Aug 2018,HUD,1,0.67,6,4.34
987609,19th Aug 2018,MCI,6,4.34,1,0.67
987610,18th Aug 2018,FUL,1,1.58,3,2.89
987610,18th Aug 2018,TOT,3,2.89,1,1.58
987611,18th Aug 2018,BOU,2,1.36,1,1.18
987611,18th Aug 2018,WHU,1,1.18,2,1.36
987612,25th Aug 2018,BOU,2,2.18,2,0.64
987612,25th Aug 2018,EVE,2,0.64,2,2.18
987613,25th Aug 2018,ARS,3,1.80,1,1.08
987613,25th Aug 2018,WHU,1,1.08,3,1.80
987614,26th Aug 2018,BUR,2,1.48,4,1.32
987614,26th Aug 2018,FUL,4,1.32,2,1.48
987615,25th Aug 2018,CAR,0,0.90,0,0.21
987615,25th Aug 2018,HUD,0,0.21,0,0.90
987616,25th Aug 2018,BHA,0,0.59,1,1.63
987616,25th Aug 2018,LIV,1,1.63,0,0.59
987617,27th Aug 2018,MUN,0,1.49,3,1.30
987617,27th Aug 2018,TOT,3,1.30,0,1.49
987618,26th Aug 2018,CHE,2,1.49,1,0.23
987618,26th Aug 2018,NEW,1,0.23,2,1.49
987619,25th Aug 2018,LEI,2,0.65,1,0.51
987619,25th Aug 2018,SOU,1,0.51,2,0.65
987620,26th Aug 2018,CRY,1,1.02,2,1.16
987620,26th Aug 2018,WAT,2,1.16,1,1.02
987621,25th Aug 2018,MCI,1,1.61,1,1.15
987621,25th Aug 2018,WOL,1,1.15,1,1.61
987622,1st Sep 2018,BHA,2,2.93,2,1.65
987622,1st Sep 2018,FUL,2,1.65,2,2.93
987623,2nd Sep 2018,BUR,0,0.83,2,2.57
987623,2nd Sep 2018,MUN,2,2.57,0,0.83
987624,2nd Sep 2018,ARS,3,1.69,2,1.01
987624,2nd Sep 2018,CAR,2,1.01,3,1.69
987625,1st Sep 2018,BOU,0,0.89,2,1.11
987625,1st Sep 2018,CHE,2,1.11,0,0.89
987626,1st Sep 2018,CRY,0,2.38,2,3.10
987626,1st Sep 2018,SOU,2,3.10,0,2.38
987627,1st Sep 2018,EVE,1,0.85,1,0.43
987627,1st Sep 2018,HUD,1,0.43,1,0.85
987628,1st Sep 2018,LEI,1,1.05,2,1.05
987628,1st Sep 2018,LIV,2,1.05,1,1.05
987629,1st Sep 2018,MCI,2,1.97,1,0.49
987629,1st Sep 2018,NEW,1,0.49,2,1.97
987630,2nd Sep 2018,TOT,1,0.63,2,0.45
987630,2nd Sep 2018,WAT,2,0.45,1,0.63
987631,1st Sep 2018,WHU,0,1.09,1,1.05
987631,1st Sep 2018,WOL,1,1.05,0,1.09
987632,15th Sep 2018,BOU,4,2.26,2,2.31
987632,15th Sep 2018,LEI,2,2.31,4,2.26
987633,15th Sep 2018,CAR,1,0.74,4,2.65
987633,15th Sep 2018,CHE,4,2.65,1,0.74
987634,16th Sep 2018,EVE,1,1.35,3,1.25
987634,16th Sep 2018,WHU,3,1.25,1,1.35
987635,15th Sep 2018,CRY,1,0.65,0,0.94
987635,15th Sep 2018,HUD,0,0.94,1,0.65
987636,15th Sep 2018,FUL,0,0.37,3,4.81
987636,15th Sep 2018,MCI,3,4.81,0,0.37
987637,15th Sep 2018,ARS,2,0.97,1,0.39
987637,15th Sep 2018,NEW,1,0.39,2,0.97
987638,17th Sep 2018,BHA,2,1.58,2,2.03
987638,17th Sep 2018,SOU,2,2.03,2,1.58
987639,15th Sep 2018,LIV,2,2.58,1,1.01
987639,15th Sep 2018,TOT,1,1.01,2,2.58
987640,15th Sep 2018,MUN,2,1.89,1,1.25
987640,15th Sep 2018,WAT,1,1.25,2,1.89
987641,16th Sep 2018,BUR,0,0.29,1,2.79
