match_id,nick_name,full_name,pos,team,pen_miss
2128286,Tarkowski,James Tarkowski,Defender,BUR,0
2128286,Pieters,Erik Pieters,Defender,BUR,0
2128286,Rodriguez,Jay Rodriguez,Forward,BUR,0
2128286,Barnes (Ashley),Ashley Barnes,Forward,BUR,0
2128286,Mee,Ben Mee,Defender,BUR,0
2128286,Westwood,Ashley Roy Westwood,Midfielder,BUR,0
2128286,Gudmundsson,Johann Berg Gudmundsson,Midfielder,BUR,0
2128286,Wood,Chris Wood,Forward,BUR,0
2128286,Lowton,Matthew Lowton,Defender,BUR,0
2128286,Vydra,Matej Vydra,Forward,BUR,0
2128286,Brady,Robert Brady,Midfielder,BUR,0
2128286,Pope,Nick Pope,Goalkeeper,BUR,0
2128286,Brownhill,Josh Brownhill,Midfielder,BUR,0
2128286,McNeil,Dwight McNeil,Midfielder,BUR,0
2128286,Cavani,Edinson Cavani,Forward,MUN,0
2128286,De Gea,David De Gea,Goalkeeper,MUN,0
2128286,Matic,Nemanja Matic,Midfielder,MUN,0
2128286,Pogba,Paul Pogba,Midfielder,MUN,0
2128286,Maguire (Harry),Harry Maguire,Defender,MUN,0
2128286,Shaw,Luke Shaw,Defender,MUN,0
2128286,Bruno Fernandes,Bruno Miguel Borges Fernandes,Midfielder,MUN,0
2128286,Martial,Anthony Martial,Forward,MUN,0
2128286,Rashford,Marcus Rashford,Midfielder,MUN,0
2128286,Tuanzebe,Axel Tuanzebe,Defender,MUN,0
2128286,McTominay,Scott McTominay,Midfielder,MUN,0
2128286,Bailly,Eric Bailly,Defender,MUN,0
2128286,Wan-Bissaka,Aaron Wan-Bissaka,Defender,MUN,0
2128286,Greenwood (Mason),Mason Greenwood,Midfielder,MUN,0
2128287,Dann,Scott Dann,Defender,CRY,0
2128287,Guaita,Vicente Guaita,Goalkeeper,CRY,0
2128287,McArthur,James McArthur,Midfielder,CRY,0
2128287,McCarthy (James),James McCarthy,Midfielder,CRY,0
2128287,Kouyaté,Cheikhou Kouyaté,Midfielder,CRY,0
2128287,Ward (Joel),Joel Ward,Defender,CRY,0
2128287,Townsend (Andros),Andros Townsend,Midfielder,CRY,0
2128287,Milivojevic,Luka Milivojevic,Midfielder,CRY,0
2128287,Ayew,Jordan Ayew,Forward,CRY,0
2128287,Zaha,Wilfried Zaha,Midfielder,CRY,0
2128287,Schlupp,Jeffrey Schlupp,Midfielder,CRY,0
2128287,Eze,Eberechi Eze,Midfielder,CRY,0
2128287,Mitchell,Tyrick Mitchell,Defender,CRY,0
2128287,Long (Shane),Shane Long,Forward,SOU,0
2128287,Bertrand,Ryan Bertrand,Defender,SOU,0
2128287,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,0
2128287,Romeu,Oriol Romeu,Midfielder,SOU,0
2128287,Redmond,Nathan Redmond,Midfielder,SOU,0
2128287,Ings,Danny Ings,Forward,SOU,0
2128287,Stephens (Jack),Jack Stephens,Defender,SOU,0
2128287,Vestergaard,Jannik Vestergaard,Defender,SOU,0
2128287,Ward-Prowse,James Ward-Prowse,Midfielder,SOU,0
2128287,Walker-Peters,Kyle Walker-Peters,Defender,SOU,0
2128287,Bednarek,Jan Bednarek,Defender,SOU,0
2128287,Adams,Che Adams,Forward,SOU,0
2128287,Smallbone,William Smallbone,Midfielder,SOU,0
2128287,Djenepo,Moussa Djenepo,Midfielder,SOU,0
2128288,Willian,Willian Borges Da Silva,Midfielder,ARS,0
2128288,Aubameyang,Pierre-Emerick Aubameyang,Midfielder,ARS,0
2128288,Lacazette,Alexandre Lacazette,Forward,ARS,0
2128288,Leno,Bernd Leno,Goalkeeper,ARS,0
2128288,Xhaka,Granit Xhaka,Midfielder,ARS,0
2128288,Bellerín,Héctor Bellerín,Defender,ARS,0
2128288,Elneny,Mohamed Elneny,Midfielder,ARS,0
2128288,Maitland-Niles,Ainsley Maitland-Niles,Defender,ARS,0
2128288,Holding,Rob Holding,Defender,ARS,0
2128288,Dani Ceballos,Daniel Ceballos Fernández,Midfielder,ARS,0
2128288,Tierney,Kieran Tierney,Defender,ARS,0
2128288,Pepe,Nicolas Pepe,Midfielder,ARS,0
2128288,Eddie Nketiah,Edward Nketiah,Forward,ARS,0
2128288,Gabriel Magalhães,Gabriel dos Santos Magalhães,Defender,ARS,0
2128288,Odoi,Denis Odoi,Defender,FUL,0
2128288,Cairney,Tom Cairney,Midfielder,FUL,0
2128288,Ream,Tim Ream,Defender,FUL,0
2128288,Hector,Michael Hector,Defender,FUL,0
2128288,Kebano,Neeskens Kebano,Midfielder,FUL,0
2128288,DeCordova-Reid,Bobby DeCordova-Reid,Forward,FUL,0
2128288,Bryan (Joe),Joe Bryan,Defender,FUL,0
2128288,Mitrovic,Aleksandar Mitrovic,Forward,FUL,0
2128288,Reed,Harrison Reed,Midfielder,FUL,0
2128288,Rodák,Marek Rodák,Goalkeeper,FUL,0
2128288,Cavaleiro,Ivan Cavaleiro,Midfielder,FUL,0
2128288,Onomah,Josh Onomah,Midfielder,FUL,0
2128288,Kamara,Aboubakar Kamara,Midfielder,FUL,0
2128288,Zambo Anguissa,André-Frank Zambo Anguissa,Midfielder,FUL,0
2128289,Hernández,Pablo Hernández,Midfielder,LEE,0
2128289,Ayling,Luke Ayling,Defender,LEE,0
2128289,Klich,Mateusz Klich,Midfielder,LEE,0
2128289,Rodrigo,Rodrigo Moreno Machado,Forward,LEE,0
2128289,Dallas,Stuart Dallas,Defender,LEE,0
2128289,Bamford,Patrick Bamford,Forward,LEE,0
2128289,Phillips (Kalvin),Kalvin Phillips,Midfielder,LEE,0
2128289,Hélder Costa,Helder Costa,Midfielder,LEE,0
2128289,Roberts (Tyler),Tyler Roberts,Midfielder,LEE,0
2128289,Koch,Robin Koch,Defender,LEE,0
2128289,Harrison,Jack Harrison,Midfielder,LEE,0
2128289,Shackleton,Jamie Shackleton,Midfielder,LEE,0
2128289,Struijk,Pascal Struijk,Defender,LEE,0
2128289,Meslier,Illan Meslier,Goalkeeper,LEE,0
2128289,Wijnaldum,Georginio Wijnaldum,Midfielder,LIV,0
2128289,Henderson (Jordan),Jordan Henderson,Midfielder,LIV,0
2128289,Matip,Joel Matip,Defender,LIV,0
2128289,Firmino,Roberto Firmino Barbosa de Oliveira,Forward,LIV,0
2128289,van Dijk,Virgil van Dijk,Defender,LIV,0
2128289,Mane,Sadio Mane,Midfielder,LIV,0
2128289,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,0
2128289,Fabinho,Fabio Henrique Tavares,Midfielder,LIV,0
2128289,Salah,Mohamed Salah,Midfielder,LIV,0
2128289,Robertson,Andrew Robertson,Defender,LIV,0
2128289,Alexander-Arnold,Trent Alexander-Arnold,Defender,LIV,0
2128289,Gomez,Joseph Gomez,Defender,LIV,0
2128289,Keita,Naby Keita,Midfielder,LIV,0
2128289,Jones (Curtis),Curtis Jones,Midfielder,LIV,0
2128290,Taylor (Neil),Neil Taylor,Defender,AVL,0
2128290,Barkley,Ross Barkley,Midfielder,AVL,0
