match_id,nick_name,full_name,pos,team,bps
2210271,Leno,Bernd Leno,Goalkeeper,ARS,5
2210271,Xhaka,Granit Xhaka,Midfielder,ARS,15
2210271,Marí,Pablo Marí,Defender,ARS,7
2210271,Chambers,Calum Chambers,Defender,ARS,6
2210271,Tierney,Kieran Tierney,Defender,ARS,12
2210271,Pepe,Nicolas Pepe,Midfielder,ARS,12
2210271,White (Ben),Ben White,Defender,ARS,5
2210271,Nelson (Reiss),Reiss Nelson,Midfielder,ARS,4
2210271,Smith-Rowe,Emile Smith-Rowe,Midfielder,ARS,17
2210271,Saka,Bukayo Saka,Midfielder,ARS,5
2210271,Balogun,Folarin Balogun,Forward,ARS,-1
2210271,Nuno Tavares,Nuno Tavares,Defender,ARS,2
2210271,Sambi Lokonga,Albert Sambi Lokonga,Midfielder,ARS,16
2210271,Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,ARS,6
2210271,Jansson,Pontus Jansson,Defender,BRE,22
2210271,Norgaard,Christian Norgaard,Midfielder,BRE,25
2210271,Toney,Ivan Toney,Forward,BRE,8
2210271,Raya Martin,David Raya Martin,Goalkeeper,BRE,30
2210271,Canos,Sergi Canos,Defender,BRE,44
2210271,Ajer,Kristoffer Ajer,Defender,BRE,23
2210271,Henry,Rico Henry,Defender,BRE,24
2210271,Janelt,Vitaly Janelt,Midfielder,BRE,7
2210271,Forss,Marcus Forss,Forward,BRE,1
2210271,Bech Sørensen,Mads Bech Sørensen,Defender,BRE,3
2210271,Pinnock,Ethan Pinnock,Defender,BRE,34
2210271,Onyeka,Frank Onyeka,Midfielder,BRE,10
2210271,Mbeumo,Bryan Mbeumo,Forward,BRE,5
2210271,Bidstrup,Mads Bidstrup,Midfielder,BRE,4
2210272,Lallana,Adam Lallana,Midfielder,BHA,7
2210272,Groß,Pascal Groß,Midfielder,BHA,24
2210272,Duffy,Shane Duffy,Defender,BHA,21
2210272,Dunk,Lewis Dunk,Defender,BHA,10
