match_id,nick_name,full_name,pos,team,saves,pen_saves
2367538,Trafford,James Trafford,Goalkeeper,BUR,5,0
2367538,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2367539,Neto,Norberto Murara Neto,Goalkeeper,BOU,1,0
2367539,Areola,Alphonse Areola,Goalkeeper,WHU,4,0
2367540,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,1,0
2367540,Turner,Matt Turner,Goalkeeper,NFO,5,0
2367541,Steele,Jason Steele,Goalkeeper,BHA,2,0
2367541,Kaminski,Thomas Kaminski,Goalkeeper,LUT,8,0
2367542,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
2367542,Leno,Bernd Leno,Goalkeeper,FUL,9,0
2367543,Martinez,Emiliano Martinez,Goalkeeper,AVL,7,0
2367543,Pope,Nick Pope,Goalkeeper,NEW,5,0
2367544,Johnstone,Sam Johnstone,Goalkeeper,CRY,1,0
2367544,Foderingham,Wes Foderingham,Goalkeeper,SHU,7,0
2367545,Flekken,Mark Flekken,Goalkeeper,BRE,4,0
2367545,Vicario,Guglielmo Vicario,Goalkeeper,TOT,4,0
2367546,Sanchez,Robert Sanchez,Goalkeeper,CHE,1,0
2367546,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,4,0
2367547,Onana,André Onana,Goalkeeper,MUN,6,0
2367547,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,2,0
2367548,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2367548,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
2367549,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,2,0
2367549,Johnstone,Sam Johnstone,Goalkeeper,CRY,2,0
2367550,Flekken,Mark Flekken,Goalkeeper,BRE,2,0
2367550,Leno,Bernd Leno,Goalkeeper,FUL,5,0
2367551,Neto,Norberto Murara Neto,Goalkeeper,BOU,8,1
2367551,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,4,0
2367552,Trafford,James Trafford,Goalkeeper,BUR,1,0
2367552,Kaminski,Thomas Kaminski,Goalkeeper,LUT,3,0
2367553,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2367553,Pope,Nick Pope,Goalkeeper,NEW,3,0
2367554,Turner,Matt Turner,Goalkeeper,NFO,2,0
2367554,Foderingham,Wes Foderingham,Goalkeeper,SHU,2,0
2367555,Onana,André Onana,Goalkeeper,MUN,5,0
2367555,Vicario,Guglielmo Vicario,Goalkeeper,TOT,6,0
2367556,Sanchez,Robert Sanchez,Goalkeeper,CHE,3,0
2367556,Areola,Alphonse Areola,Goalkeeper,WHU,3,1
2367557,Steele,Jason Steele,Goalkeeper,BHA,4,0
2367557,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,4,0
2367558,Neto,Norberto Murara Neto,Goalkeeper,BOU,4,0
2367558,Vicario,Guglielmo Vicario,Goalkeeper,TOT,3,0
2367559,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,1,0
2367559,Leno,Bernd Leno,Goalkeeper,FUL,8,0
2367560,Flekken,Mark Flekken,Goalkeeper,BRE,4,0
2367560,Johnstone,Sam Johnstone,Goalkeeper,CRY,0,0
2367561,Verbruggen,Bart Verbruggen,Goalkeeper,BHA,4,0
2367561,Areola,Alphonse Areola,Goalkeeper,WHU,9,0
2367562,Olsen,Robin Olsen,Goalkeeper,AVL,1,0
2367562,Trafford,James Trafford,Goalkeeper,BUR,3,0
2367563,Sanchez,Robert Sanchez,Goalkeeper,CHE,1,0
2367563,Kaminski,Thomas Kaminski,Goalkeeper,LUT,5,0
2367564,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
2367564,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,7,0
2367565,Onana,André Onana,Goalkeeper,MUN,2,0
2367565,Turner,Matt Turner,Goalkeeper,NFO,7,0
2367566,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,7,0
2367566,Pope,Nick Pope,Goalkeeper,NEW,2,0
2367567,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
2367567,Foderingham,Wes Foderingham,Goalkeeper,SHU,7,0
2367568,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,1,0
2367568,Onana,André Onana,Goalkeeper,MUN,2,0
2367569,Neto,Norberto Murara Neto,Goalkeeper,BOU,6,0
2367569,Flekken,Mark Flekken,Goalkeeper,BRE,3,0
2367570,Verbruggen,Bart Verbruggen,Goalkeeper,BHA,2,0
2367570,Pope,Nick Pope,Goalkeeper,NEW,4,0
2367571,Trafford,James Trafford,Goalkeeper,BUR,6,0
2367571,Vicario,Guglielmo Vicario,Goalkeeper,TOT,3,0
2367572,Sanchez,Robert Sanchez,Goalkeeper,CHE,2,0
2367572,Turner,Matt Turner,Goalkeeper,NFO,2,0
2367573,Johnstone,Sam Johnstone,Goalkeeper,CRY,2,0
2367573,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,7,0
2367574,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2367574,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
2367575,Kaminski,Thomas Kaminski,Goalkeeper,LUT,1,0
2367575,Areola,Alphonse Areola,Goalkeeper,WHU,0,0
2367576,Leno,Bernd Leno,Goalkeeper,FUL,0,0
2367576,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
2367577,Pickford,Jordan Pickford,Goalkeeper,EVE,6,0
2367577,Foderingham,Wes Foderingham,Goalkeeper,SHU,4,0
2367578,Neto,Norberto Murara Neto,Goalkeeper,BOU,6,0
2367578,Sanchez,Robert Sanchez,Goalkeeper,CHE,4,0
2367579,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2367579,Johnstone,Sam Johnstone,Goalkeeper,CRY,2,0
2367580,Raya Martin,David Raya Martin,Goalkeeper,ARS,1,0
2367580,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
2367581,Leno,Bernd Leno,Goalkeeper,FUL,2,0
2367581,Kaminski,Thomas Kaminski,Goalkeeper,LUT,1,0
2367582,Steele,Jason Steele,Goalkeeper,BHA,3,0
2367582,Onana,André Onana,Goalkeeper,MUN,5,0
2367583,Flekken,Mark Flekken,Goalkeeper,BRE,1,0
2367583,Pope,Nick Pope,Goalkeeper,NEW,2,0
2367584,Trafford,James Trafford,Goalkeeper,BUR,3,0
2367584,Turner,Matt Turner,Goalkeeper,NFO,2,0
2367585,Foderingham,Wes Foderingham,Goalkeeper,SHU,8,0
2367585,Vicario,Guglielmo Vicario,Goalkeeper,TOT,4,0
2367586,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,2,0
2367586,Areola,Alphonse Areola,Goalkeeper,WHU,10,0
2367587,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
2367587,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,3,0
2367588,Raya Martin,David Raya Martin,Goalkeeper,ARS,3,0
2367588,Vicario,Guglielmo Vicario,Goalkeeper,TOT,4,0
2367589,Flekken,Mark Flekken,Goalkeeper,BRE,3,0
2367589,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
2367590,Neto,Norberto Murara Neto,Goalkeeper,BOU,2,0
2367590,Verbruggen,Bart Verbruggen,Goalkeeper,BHA,2,0
2367591,Trafford,James Trafford,Goalkeeper,BUR,3,0
2367591,Onana,André Onana,Goalkeeper,MUN,4,0
2367592,Martinez,Emiliano Martinez,Goalkeeper,AVL,4,0
2367592,Sanchez,Robert Sanchez,Goalkeeper,CHE,6,0
2367593,Johnstone,Sam Johnstone,Goalkeeper,CRY,5,0
2367593,Leno,Bernd Leno,Goalkeeper,FUL,3,0
2367594,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
2367594,Areola,Alphonse Areola,Goalkeeper,WHU,4,0
2367595,Kaminski,Thomas Kaminski,Goalkeeper,LUT,2,0
2367595,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,3,0
2367596,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
2367596,Turner,Matt Turner,Goalkeeper,NFO,2,0
2367597,Pope,Nick Pope,Goalkeeper,NEW,1,0
2367597,Foderingham,Wes Foderingham,Goalkeeper,SHU,7,0
2367598,Raya Martin,David Raya Martin,Goalkeeper,ARS,1,0
2367598,Neto,Norberto Murara Neto,Goalkeeper,BOU,4,0
2367599,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2367599,Steele,Jason Steele,Goalkeeper,BHA,4,0
2367600,Pickford,Jordan Pickford,Goalkeeper,EVE,0,0
2367600,Kaminski,Thomas Kaminski,Goalkeeper,LUT,3,0
2367601,Sanchez,Robert Sanchez,Goalkeeper,CHE,3,0
2367601,Leno,Bernd Leno,Goalkeeper,FUL,2,0
2367602,Johnstone,Sam Johnstone,Goalkeeper,CRY,3,0
2367602,Onana,André Onana,Goalkeeper,MUN,1,0
2367603,Trafford,James Trafford,Goalkeeper,BUR,5,0
2367603,Pope,Nick Pope,Goalkeeper,NEW,2,0
2367604,Flekken,Mark Flekken,Goalkeeper,BRE,0,0
2367604,Turner,Matt Turner,Goalkeeper,NFO,3,0
2367605,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,8,0
2367605,Vicario,Guglielmo Vicario,Goalkeeper,TOT,3,0
2367606,Foderingham,Wes Foderingham,Goalkeeper,SHU,6,0
2367606,Areola,Alphonse Areola,Goalkeeper,WHU,2,0
2367607,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
2367607,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,7,0
2367608,Raya Martin,David Raya Martin,Goalkeeper,ARS,0,0
2367608,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2367609,Verbruggen,Bart Verbruggen,Goalkeeper,BHA,2,0
2367609,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
2367610,Trafford,James Trafford,Goalkeeper,BUR,2,0
2367610,Sanchez,Robert Sanchez,Goalkeeper,CHE,2,0
2367611,Johnstone,Sam Johnstone,Goalkeeper,CRY,5,0
2367611,Turner,Matt Turner,Goalkeeper,NFO,2,0
2367612,Neto,Norberto Murara Neto,Goalkeeper,BOU,5,0
2367612,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
2367613,Leno,Bernd Leno,Goalkeeper,FUL,2,0
2367613,Foderingham,Wes Foderingham,Goalkeeper,SHU,4,0
2367614,Kaminski,Thomas Kaminski,Goalkeeper,LUT,3,0
