match_id,nick_name,full_name,pos,team,xa,xg
2444470,Cairney,Tom Cairney,Midfielder,FUL,0.05,0.00
2444470,Leno,Bernd Leno,Goalkeeper,FUL,0.00,0.00
2444470,Raúl Jiménez,Raul Alonso Jimenez Rodriguez,Forward,FUL,0.00,0.00
2444470,Iwobi,Alex Iwobi,Midfielder,FUL,0.15,0.04
2444470,Reed,Harrison Reed,Midfielder,FUL,0.00,0.00
2444470,Wilson (Harry),Harry Wilson,Midfielder,FUL,0.01,0.00
2444470,Pereira,Andreas Pereira,Midfielder,FUL,0.16,0.00
2444470,Traoré (Adama),Adama Traoré,Midfielder,FUL,0.02,0.10
2444470,Tete,Kenny Tete,Defender,FUL,0.00,0.09
2444470,Robinson (Antonee),Antonee Robinson,Defender,FUL,0.01,0.00
2444470,Smith-Rowe,Emile Smith-Rowe,Midfielder,FUL,0.00,0.00
2444470,Lukic,Sasa Lukic,Midfielder,FUL,0.01,0.00
2444470,Diop,Issa Diop,Defender,FUL,0.00,0.00
2444470,Bassey,Calvin Bassey,Defender,FUL,0.03,0.10
2444470,Rodrigo Muniz,Rodrigo Muniz Carvalho,Forward,FUL,0.00,0.11
2444470,Stansfield,Jay Stansfield,Forward,FUL,0.00,0.00
2444470,Evans (Jonny),Jonny Evans,Defender,MUN,0.00,0.00
2444470,Casemiro,Carlos Henrique Jose Francisco Venancio,Midfielder,MUN,0.50,0.16
2444470,Maguire,Harry Maguire,Defender,MUN,0.01,0.00
2444470,Bruno Fernandes,Bruno Miguel Borges Fernandes,Midfielder,MUN,0.03,1.19
2444470,Rashford,Marcus Rashford,Midfielder,MUN,0.11,0.00
2444470,Mount,Mason Mount,Midfielder,MUN,0.03,0.30
2444470,McTominay,Scott McTominay,Midfielder,MUN,0.00,0.00
2444470,Onana,André Onana,Goalkeeper,MUN,0.00,0.00
2444470,de Ligt,Matthijs de Ligt,Defender,MUN,0.00,0.00
2444470,Dalot,José Diogo Dalot Teixeira,Defender,MUN,0.02,0.00
2444470,Martínez,Lisandro Martínez,Defender,MUN,0.02,0.00
2444470,Mazraoui,Noussair Mazraoui,Defender,MUN,0.01,0.00
2444470,Zirkzee,Joshua Zirkzee,Forward,MUN,0.00,0.07
2444470,Garnacho,Alejandro Garnacho Ferreyra,Midfielder,MUN,0.09,0.68
2444470,Amad Diallo,Amad Diallo Traore,Midfielder,MUN,0.13,0.00
2444470,Mainoo,Kobbie Mainoo,Midfielder,MUN,0.01,0.03
2444471,Trossard,Leandro Trossard,Midfielder,ARS,0.00,0.00
2444471,Raya Martin,David Raya Martin,Goalkeeper,ARS,0.00,0.00
2444471,Partey,Thomas Partey,Midfielder,ARS,0.06,0.06
2444471,Odegaard,Martin Odegaard,Midfielder,ARS,0.06,0.02
2444471,White (Ben),Ben White,Defender,ARS,0.06,0.07
2444471,Rice,Declan Rice,Midfielder,ARS,0.05,0.09
2444471,Jesus,Gabriel Fernando de Jesus,Forward,ARS,0.00,0.00
2444471,Zinchenko,Oleksandr Zinchenko,Defender,ARS,0.04,0.00
2444471,Havertz,Kai Havertz,Forward,ARS,0.04,0.45
2444471,Saka,Bukayo Saka,Midfielder,ARS,0.37,0.35
2444471,Gabriel Magalhães,Gabriel dos Santos Magalhães,Defender,ARS,0.02,0.12
2444471,Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,ARS,0.19,0.08
2444471,Jurriën Timber,Jurriën Timber,Defender,ARS,0.01,0.02
2444471,Saliba,William Saliba,Defender,ARS,0.00,0.00
2444471,Dawson,Craig Dawson,Defender,WOL,0.00,0.00
2444471,Doherty,Matt Doherty,Defender,WOL,0.01,0.08
2444471,Sarabia,Pablo Sarabia,Midfielder,WOL,0.01,0.08
2444471,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,0.00,0.00
2444471,Lemina (Mario),Mario Lemina,Midfielder,WOL,0.01,0.00
2444471,Hwang Hee-Chan,Hee-Chan Hwang,Midfielder,WOL,0.11,0.00
2444471,Podence,Daniel Podence,Midfielder,WOL,0.00,0.04
2444471,Bellegarde,Jean-Ricner Bellegarde,Midfielder,WOL,0.00,0.07
2444471,Strand Larsen,Jørgen Strand Larsen,Forward,WOL,0.00,0.08
2444471,Matheus Cunha,Matheus Santos Carneiro Da Cunha,Forward,WOL,0.02,0.06
2444471,João Gomes,João Victor Gomes da Silva,Midfielder,WOL,0.02,0.00
2444471,Ait Nouri,Rayan Ait Nouri,Defender,WOL,0.02,0.02
2444471,Rodrigo Gomes,Rodrigo Martins Gomes,Midfielder,WOL,0.01,0.05
2444471,Mosquera,Yerson Mosquera,Defender,WOL,0.02,0.00
2444471,Toti,Toti António Gomes,Defender,WOL,0.01,0.00
2444471,Chiquinho,Francisco Jorge Tomás Oliveira,Midfielder,WOL,0.05,0.00
2444472,Milner,James Milner,Midfielder,BHA,0.11,0.00
2444472,Steele,Jason Steele,Goalkeeper,BHA,0.00,0.00
2444472,Welbeck,Danny Welbeck,Forward,BHA,0.04,0.20
2444472,Dunk,Lewis Dunk,Defender,BHA,0.00,0.07
2444472,Webster,Adam Webster,Defender,BHA,0.02,0.00
2444472,Veltman,Joël Veltman,Defender,BHA,0.00,0.00
2444472,Gilmour,Billy Gilmour,Midfielder,BHA,0.00,0.00
2444472,Sarmiento,Jeremy Sarmiento,Midfielder,BHA,0.00,0.00
2444472,Mitoma,Kaoru Mitoma,Midfielder,BHA,0.04,0.97
2444472,Wieffer,Mats Wieffer,Midfielder,BHA,0.02,0.00
2444472,van Hecke,Jan-Paul van Hecke,Defender,BHA,0.00,0.00
2444472,João Pedro,João Pedro Junqueira de Jesus,Forward,BHA,0.02,0.03
2444472,Ayari,Yasin Ayari,Midfielder,BHA,0.00,0.00
2444472,Hinshelwood,Jack Hinshelwood,Midfielder,BHA,0.01,0.00
2444472,Adingra,Simon Adingra,Midfielder,BHA,0.05,0.17
2444472,Minteh,Yankuba Minteh,Midfielder,BHA,0.65,0.00
2444472,Tarkowski,James Tarkowski,Defender,EVE,0.01,0.01
2444472,Young (Ashley),Ashley Young,Defender,EVE,0.17,0.00
2444472,Gueye,Idrissa Gueye,Midfielder,EVE,0.01,0.02
2444472,Keane,Michael Keane,Defender,EVE,0.01,0.01
2444472,Pickford,Jordan Pickford,Goalkeeper,EVE,0.02,0.00
2444472,Doucouré,Abdoulaye Doucouré,Midfielder,EVE,0.01,0.14
2444472,Calvert-Lewin,Dominic Calvert-Lewin,Forward,EVE,0.01,0.00
2444472,Holgate,Mason Holgate,Defender,EVE,0.00,0.00
2444472,Harrison (Jack),Jack Harrison,Midfielder,EVE,0.26,0.14
2444472,Mykolenko,Vitaliy Mykolenko,Defender,EVE,0.00,0.00
2444472,McNeil,Dwight McNeil,Midfielder,EVE,0.16,0.00
2444472,Ndiaye,Iliman Ndiaye,Forward,EVE,0.00,0.00
2444472,Beto,Norberto Bercique Gomes Betuncal,Forward,EVE,0.00,0.00
2444472,Iroegbunam,Tim Iroegbunam,Midfielder,EVE,0.01,0.14
2444473,Morsy,Sam Morsy,Midfielder,IPS,0.08,0.00
2444473,Luongo,Massimo Luongo,Midfielder,IPS,0.00,0.00
2444473,Walton,Christian Walton,Goalkeeper,IPS,0.00,0.00
2444473,Burns,Wes Burns,Midfielder,IPS,0.00,0.00
2444473,Harness,Marcus Harness,Midfielder,IPS,0.03,0.00
2444473,Szmodics,Sammie Szmodics,Midfielder,IPS,0.02,0.00
2444473,Tuanzebe,Axel Tuanzebe,Defender,IPS,0.00,0.07
2444473,Chaplin,Conor Chaplin,Midfielder,IPS,0.01,0.00
2444473,Woolfenden,Luke Woolfenden,Defender,IPS,0.00,0.00
2444473,Johnson (Ben),Ben Johnson,Defender,IPS,0.00,0.00
2444473,Taylor (Jack),Jack Taylor,Midfielder,IPS,0.01,0.02
2444473,Greaves,Jacob Greaves,Defender,IPS,0.00,0.10
2444473,Davis,Leif Davis,Defender,IPS,0.02,0.00
2444473,Ali Al Hamadi,Ali Ibrahim Karim Al Hamadi,Forward,IPS,0.00,0.00
