match_id,nick_name,full_name,pos,team,xa,xg
918893,Cech,Petr Cech,Goalkeeper,ARS,0.0,0.0
918893,Walcott,Theo Walcott,Midfielder,ARS,0.0,0.0
918893,Ozil,Mesut Ozil,Midfielder,ARS,0.22,0.14
918893,Monreal,Nacho Monreal,Defender,ARS,0.01,0.0
918893,Ramsey,Aaron Ramsey,Midfielder,ARS,0.07,0.43
918893,Giroud,Olivier Giroud,Forward,ARS,0.07,0.08
918893,Welbeck,Danny Welbeck,Forward,ARS,0.23,0.98
918893,Lacazette,Alexandre Lacazette,Forward,ARS,0.24,0.29
918893,Oxlade-Chamberlain,Alex Oxlade-Chamberlain,Midfielder,ARS,0.05,0.18
918893,Xhaka,Granit Xhaka,Midfielder,ARS,0.24,0.1
918893,Bellerín,Héctor Bellerín,Defender,ARS,0.04,0.33
918893,Kolasinac,Sead Kolasinac,Defender,ARS,0.42,0.05
918893,Elneny,Mohamed Elneny,Midfielder,ARS,0.15,0.01
918893,Holding,Rob Holding,Defender,ARS,0.01,0.0
918893,Morgan,Wes Morgan,Defender,LEI,0.0,0.0
918893,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,0.0,0.0
918893,Fuchs,Christian Fuchs,Defender,LEI,0.15,0.0
918893,Simpson (Danny),Danny Simpson,Defender,LEI,0.0,0.0
918893,Albrighton,Marc Albrighton,Midfielder,LEI,0.47,0.0
918893,James (Matthew),Matthew James,Midfielder,LEI,0.01,0.0
918893,Okazaki,Shinji Okazaki,Forward,LEI,0.0,0.49
918893,Maguire,Harry Maguire,Defender,LEI,0.21,0.0
918893,Vardy,Jamie Vardy,Forward,LEI,0.01,0.89
918893,Mahrez,Riyad Mahrez,Midfielder,LEI,0.31,0.12
918893,Amartey,Daniel Amartey,Midfielder,LEI,0.0,0.0
918893,Gray (Demarai),Demarai Gray,Midfielder,LEI,0.0,0.0
918893,Iheanacho,Kelechi Iheanacho,Forward,LEI,0.0,0.0
918893,Ndidi,Onyinye Wilfred Ndidi,Midfielder,LEI,0.01,0.0
918894,Murphy (Jamie),Jamie Murphy,Midfielder,BHA,0.0,0.0
918894,Bruno,Bruno Saltor Grau,Defender,BHA,0.0,0.0
918894,Murray,Glenn Murray,Forward,BHA,0.0,0.0
918894,Hemed,Tomer Hemed,Forward,BHA,0.0,0.0
918894,Stephens (Dale),Dale Stephens,Midfielder,BHA,0.02,0.0
918894,Suttner,Markus Suttner,Defender,BHA,0.0,0.0
918894,Groß,Pascal Groß,Midfielder,BHA,0.06,0.0
918894,Duffy,Shane Duffy,Defender,BHA,0.0,0.04
918894,Pröpper,Davy Pröpper,Midfielder,BHA,0.01,0.04
918894,Dunk,Lewis Dunk,Defender,BHA,0.03,0.22
918894,Knockaert,Anthony Knockaert,Midfielder,BHA,0.05,0.0
918894,March,Solomon March,Midfielder,BHA,0.0,0.0
918894,Brown (Isaiah),Isaiah Brown,Midfielder,BHA,0.0,0.0
918894,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,0.0,0.0
918894,Kompany,Vincent Kompany,Defender,MCI,0.03,0.0
918894,Silva,David Silva,Midfielder,MCI,0.82,0.0
918894,Fernandinho,Fernando Luiz Rosa,Midfielder,MCI,0.09,0.07
918894,Aguero,Sergio Aguero,Forward,MCI,0.4,0.69
918894,Otamendi,Nicolás Otamendi,Defender,MCI,0.08,0.03
918894,Walker,Kyle Walker,Defender,MCI,0.25,0.0
918894,De Bruyne,Kevin De Bruyne,Midfielder,MCI,0.55,0.18
918894,Stones,John Stones,Defender,MCI,0.03,0.0
918894,Danilo,Danilo Luiz da Silva,Defender,MCI,0.02,0.03
918894,Sterling (Raheem),Raheem Sterling,Midfielder,MCI,0.01,0.0
918894,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0.0,0.0
918894,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,MCI,0.03,0.0
918894,Leroy Sane,Leroy Sané,Midfielder,MCI,0.01,0.0
918894,Jesus,Gabriel Fernando de Jesus,Forward,MCI,0.07,1.33
918895,Walters,Jonathan Walters,Midfielder,BUR,0.0,0.0
918895,Tarkowski,James Tarkowski,Defender,BUR,0.13,0.0
918895,Heaton,Tom Heaton,Goalkeeper,BUR,0.01,0.0
918895,Arfield,Scott Arfield,Midfielder,BUR,0.0,0.0
918895,Defour,Steven Defour,Midfielder,BUR,0.12,0.0
918895,Cork,Jack Cork,Midfielder,BUR,0.02,0.0
918895,Vokes,Sam Vokes,Forward,BUR,0.01,0.24
918895,Ward (Stephen),Stephen Ward,Defender,BUR,0.01,0.08
918895,Mee,Ben Mee,Defender,BUR,0.01,0.07
918895,Gudmundsson,Johann Berg Gudmundsson,Midfielder,BUR,0.01,0.0
918895,Lowton,Matthew Lowton,Defender,BUR,0.04,0.0
918895,Hendrick,Jeff Hendrick,Midfielder,BUR,0.07,0.0
918895,Brady,Robert Brady,Midfielder,BUR,0.13,0.27
918895,Fabregas,Francesc Fábregas,Midfielder,CHE,0.13,0.0
918895,Cahill,Gary Cahill,Defender,CHE,0.0,0.0
918895,Luiz,David Luiz Moreira Marinho,Defender,CHE,0.01,0.67
918895,Azpilicueta,César Azpilicueta,Defender,CHE,0.05,0.0
918895,Willian,Willian Borges Da Silva,Midfielder,CHE,0.37,0.03
918895,Courtois,Thibaut Courtois,Goalkeeper,CHE,0.01,0.0
918895,Alonso,Marcos Alonso,Defender,CHE,0.04,0.22
918895,Morata,Álvaro Morata,Forward,CHE,0.17,0.42
918895,Batshuayi,Michy Batshuayi,Forward,CHE,0.01,0.05
918895,Rüdiger,Antonio Rüdiger,Defender,CHE,0.01,0.05
918895,Kanté,N'Golo Kanté,Midfielder,CHE,0.1,0.1
918895,Christensen,Andreas Christensen,Defender,CHE,0.01,0.0
918895,Boga,Jeremie Boga,Midfielder,CHE,0.01,0.0
918895,Charly Musonda,Charly Musonda,Midfielder,CHE,0.0,0.0
918896,Dann,Scott Dann,Defender,CRY,0.0,0.11
918896,Puncheon,Jason Puncheon,Midfielder,CRY,0.04,0.08
918896,Hennessey,Wayne Hennessey,Goalkeeper,CRY,0.0,0.0
918896,Tomkins,James Tomkins,Defender,CRY,0.0,0.07
918896,Benteke (Christian),Christian Benteke,Forward,CRY,0.01,0.22
918896,Ward (Joel),Joel Ward,Defender,CRY,0.02,0.0
918896,Townsend,Andros Townsend,Midfielder,CRY,0.07,0.0
918896,Milivojevic,Luka Milivojevic,Midfielder,CRY,0.01,0.0
918896,Van Aanholt,Patrick Van Aanholt,Defender,CRY,0.19,0.14
918896,Zaha,Wilfried Zaha,Midfielder,CRY,0.05,0.42
918896,Loftus-Cheek,Ruben Loftus-Cheek,Midfielder,CRY,0.02,0.04
918896,Riedewald,Jairo Riedewald,Defender,CRY,0.02,0.0
918896,Fosu-Mensah,Timothy Fosu-Mensah,Defender,CRY,0.0,0.0
918896,Zanka,Mathias Jorgensen,Defender,HUD,0.0,0.89
918896,van La Parra,Rajiv van La Parra,Midfielder,HUD,0.0,0.0
918896,Lowe,Chris Löwe,Defender,HUD,0.0,0.02
918896,Lössl,Jonas Lössl,Goalkeeper,HUD,0.01,0.0
918896,Mooy,Aaron Mooy,Midfielder,HUD,0.26,0.0
918896,Williams (Danny),Danny Williams,Midfielder,HUD,0.0,0.0
918896,Quaner,Collin Quaner,Forward,HUD,0.06,0.0
918896,Schindler,Christopher Schindler,Defender,HUD,0.25,0.0
918896,Ince (Thomas),Thomas Ince,Midfielder,HUD,0.01,0.07
918896,Kachunga,Elias Kachunga,Midfielder,HUD,0.0,0.0
918896,Smith (Tommy),Tommy Smith,Defender,HUD,0.01,0.0
918896,Palmer (Kasey),Kasey Palmer,Midfielder,HUD,0.22,0.05
918896,Billing,Philip Billing,Midfielder,HUD,0.02,0.02
918896,Mounie,Steve Mounie,Forward,HUD,0.02,0.45
918897,Jagielka,Phil Jagielka,Defender,EVE,0.0,0.0
918897,Baines,Leighton Baines,Defender,EVE,0.02,0.0
918897,Rooney,Wayne Rooney,Forward,EVE,0.49,0.23
918897,Williams (Ashley),Ashley Williams,Defender,EVE,0.0,0.0
918897,Mirallas,Kevin Mirallas,Midfielder,EVE,0.0,0.0
918897,Schneiderlin,Morgan Schneiderlin,Midfielder,EVE,0.01,0.0
918897,Cuco Martina,Rhu-Endly Martina,Defender,EVE,0.11,0.0
918897,Gueye,Idrissa Gueye,Midfielder,EVE,0.02,0.07
918897,Keane,Michael Keane,Defender,EVE,0.01,0.0
918897,Ramirez,Sandro Ramírez,Forward,EVE,0.02,0.07
918897,Klaassen,Davy Klaassen,Midfielder,EVE,0.0,0.05
918897,Pickford,Jordan Pickford,Goalkeeper,EVE,0.0,0.0
918897,Davies (Tom),Tom Davies,Midfielder,EVE,0.01,0.0
918897,Calvert-Lewin,Dominic Calvert-Lewin,Forward,EVE,0.1,0.19
918897,Crouch,Peter Crouch,Forward,STK,0.04,0.05
918897,Fletcher (Darren),Darren Fletcher,Midfielder,STK,0.03,0.05
918897,Shawcross,Ryan Shawcross,Defender,STK,0.0,0.0
918897,Pieters,Erik Pieters,Defender,STK,0.03,0.0
918897,Bojan,Bojan Krkic,Midfielder,STK,0.01,0.03
918897,Allen,Joe Allen,Midfielder,STK,0.06,0.05
918897,Choupo-Moting,Eric Maxim Choupo-Moting,Midfielder,STK,0.02,0.0
918897,Cameron,Geoff Cameron,Defender,STK,0.01,0.0
918897,Diouf,Mame Biram Diouf,Forward,STK,0.03,0.13
918897,Shaqiri,Xherdan Shaqiri,Midfielder,STK,0.29,0.03
918897,Berahino,Saido Berahino,Forward,STK,0.01,0.03
918897,Zouma,Kurt Zouma,Defender,STK,0.0,0.0
918897,Butland,Jack Butland,Goalkeeper,STK,0.0,0.0
918898,Valencia,Luis Antonio Valencia,Defender,MUN,0.03,0.02
918898,Fellaini,Marouane Fellaini,Midfielder,MUN,0.0,0.0
918898,Mata,Juan Mata,Midfielder,MUN,0.42,0.0
918898,De Gea,David De Gea,Goalkeeper,MUN,0.0,0.0
918898,Mkhitaryan,Henrikh Mkhitaryan,Midfielder,MUN,0.62,0.12
918898,Blind,Daley Blind,Defender,MUN,0.1,0.09
918898,Matic,Nemanja Matic,Midfielder,MUN,0.02,0.03
918898,Lukaku,Romelu Lukaku,Forward,MUN,0.03,0.99
918898,Pogba,Paul Pogba,Midfielder,MUN,0.54,0.14
918898,Jones (Phil),Phil Jones,Defender,MUN,0.0,0.0
918898,Lingard,Jesse Lingard,Midfielder,MUN,0.0,0.0
918898,Martial,Anthony Martial,Midfielder,MUN,0.01,0.45
918898,Rashford,Marcus Rashford,Forward,MUN,0.39,0.22
918898,Bailly,Eric Bailly,Defender,MUN,0.0,0.0
918898,Hart,Joe Hart,Goalkeeper,WHU,0.0,0.0
918898,Noble,Mark Noble,Midfielder,WHU,0.11,0.03
918898,Zabaleta,Pablo Zabaleta,Defender,WHU,0.05,0.0
918898,Ogbonna,Angelo Ogbonna,Defender,WHU,0.01,0.0
918898,Arnautovic,Marko Arnautovic,Midfielder,WHU,0.11,0.09
918898,Hernández,Javier Hernández,Forward,WHU,0.05,0.11
