match_id,nick_name,full_name,pos,team,saves,pen_saves
918893,Cech,Petr Cech,Goalkeeper,ARS,1,0
918893,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,6,0
918894,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,3,0
918894,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,2,0
918895,Heaton,Tom Heaton,Goalkeeper,BUR,4,0
918895,Courtois,Thibaut Courtois,Goalkeeper,CHE,2,0
918896,Hennessey,Wayne Hennessey,Goalkeeper,CRY,4,0
918896,Lössl,Jonas Lössl,Goalkeeper,HUD,4,0
918897,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
918897,Butland,Jack Butland,Goalkeeper,STK,3,0
918898,De Gea,David De Gea,Goalkeeper,MUN,1,0
918898,Hart,Joe Hart,Goalkeeper,WHU,1,0
918899,Elliot,Robert Elliot,Goalkeeper,NEW,4,0
918899,Lloris,Hugo Lloris,Goalkeeper,TOT,3,0
918900,Forster,Fraser Forster,Goalkeeper,SOU,0,0
918900,Fabianski,Lukasz Fabianski,Goalkeeper,SWA,2,0
918901,Mignolet,Simon Mignolet,Goalkeeper,LIV,1,0
918901,Gomes (Heurelho),Heurelho Gomes,Goalkeeper,WAT,2,0
918902,Begovic,Asmir Begovic,Goalkeeper,BOU,5,0
918902,Foster,Ben Foster,Goalkeeper,WBA,2,0
918903,Begovic,Asmir Begovic,Goalkeeper,BOU,5,0
918903,Gomes (Heurelho),Heurelho Gomes,Goalkeeper,WAT,2,0
918904,Heaton,Tom Heaton,Goalkeeper,BUR,0,0
918904,Foster,Ben Foster,Goalkeeper,WBA,1,0
918905,Lössl,Jonas Lössl,Goalkeeper,HUD,5,0
918905,Elliot,Robert Elliot,Goalkeeper,NEW,2,0
918906,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,2,0
918906,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
918907,Hennessey,Wayne Hennessey,Goalkeeper,CRY,12,0
918907,Mignolet,Simon Mignolet,Goalkeeper,LIV,1,0
918908,Pickford,Jordan Pickford,Goalkeeper,EVE,5,0
918908,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
918909,Cech,Petr Cech,Goalkeeper,ARS,3,0
918909,Butland,Jack Butland,Goalkeeper,STK,6,0
918910,De Gea,David De Gea,Goalkeeper,MUN,0,0
