match_id,date,team,goals,xg,goals_c,xg_c
918893,11th Aug 2017,ARS,4,2.58,3,1.5
918893,11th Aug 2017,LEI,3,1.5,4,2.58
918894,12th Aug 2017,BHA,0,0.29,2,1.93
918894,12th Aug 2017,MCI,2,1.93,0,0.29
918895,12th Aug 2017,BUR,3,0.65,2,1.53
918895,12th Aug 2017,CHE,2,1.53,3,0.65
918896,12th Aug 2017,CRY,0,1.07,3,1.5
918896,12th Aug 2017,HUD,3,1.5,0,1.07
918897,12th Aug 2017,EVE,1,0.6,0,0.37
918897,12th Aug 2017,STK,0,0.37,1,0.6
918898,13th Aug 2017,MUN,4,2.06,0,0.48
918898,13th Aug 2017,WHU,0,0.48,4,2.06
918899,13th Aug 2017,NEW,0,0.81,2,2.5
918899,13th Aug 2017,TOT,2,2.5,0,0.81
918900,12th Aug 2017,SOU,0,2.01,0,0.3
918900,12th Aug 2017,SWA,0,0.3,0,2.01
918901,12th Aug 2017,LIV,3,2.67,3,2.23
918901,12th Aug 2017,WAT,3,2.23,3,2.67
918902,12th Aug 2017,BOU,0,0.47,1,1.27
918902,12th Aug 2017,WBA,1,1.27,0,0.47
918903,19th Aug 2017,BOU,0,1.0,2,2.42
918903,19th Aug 2017,WAT,2,2.42,0,1.0
918904,19th Aug 2017,BUR,0,1.28,1,0.91
918904,19th Aug 2017,WBA,1,0.91,0,1.28
918905,20th Aug 2017,HUD,1,0.26,0,0.75
918905,20th Aug 2017,NEW,0,0.75,1,0.26
918906,19th Aug 2017,BHA,0,0.17,2,2.01
918906,19th Aug 2017,LEI,2,2.01,0,0.17
918907,19th Aug 2017,CRY,0,0.72,1,2.55
918907,19th Aug 2017,LIV,1,2.55,0,0.72
918908,21st Aug 2017,EVE,1,0.56,1,1.1
918908,21st Aug 2017,MCI,1,1.1,1,0.56
918909,19th Aug 2017,ARS,0,1.47,1,0.7
918909,19th Aug 2017,STK,1,0.7,0,1.47
918910,19th Aug 2017,MUN,4,3.05,0,0.4
918910,19th Aug 2017,SWA,0,0.4,4,3.05
918911,20th Aug 2017,CHE,2,0.74,1,0.73
918911,20th Aug 2017,TOT,1,0.73,2,0.74
918912,31st Mar 2018,SOU,0,0.5,3,1.35
918912,31st Mar 2018,WHU,3,1.35,0,0.5
918913,26th Aug 2017,BOU,1,0.47,2,1.45
918913,26th Aug 2017,MCI,2,1.45,1,0.47
918914,27th Aug 2017,CHE,2,0.99,0,0.38
918914,27th Aug 2017,EVE,0,0.38,2,0.99
918915,26th Aug 2017,CRY,0,0.92,2,0.76
