name1,name2,season,score,match_indicator
Onyinye Wilfred Ndidi,Wilfred Ndidi,17-18,76.47058823529412,1
Mesut Ozil,Mesut Özil,17-18,90.0,1
Matthew James,Matty James,17-18,83.33333333333334,1
Sergio Aguero,Sergio Agüero,17-18,92.3076923076923,1
Francesc Fábregas,Cesc Fàbregas,17-18,80.0,1
Robert Brady,Robbie Brady,17-18,83.33333333333334,1
Patrick Van Aanholt,Patrick van Aanholt,17-18,100.0,1
Thomas Ince,Tom Ince,17-18,84.21052631578947,1
Bojan Krkic,Bojan Krkic Perez,17-18,78.57142857142857,1
Rhu-Endly Martina,Cuco Martina,17-18,62.06896551724138,1
Luis Antonio Valencia,Antonio Valencia,17-18,86.48648648648648,1
Javier Hernández,Javier Hernández Balcázar,17-18,78.04878048780488,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,17-18,68.75,1
Moussa Dembélé,Mousa Dembélé,17-18,96.29629629629629,1
Oriol Romeu,Oriol Romeu Vidal,17-18,78.57142857142857,1
Cedric Ricardo Alves Soares,Cédric Soares,17-18,60.0,1
Thomas Carroll,Tom Carroll,17-18,88.0,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,17-18,60.0,1
Sadio Mane,Sadio Mané,17-18,90.0,1
Jordan Ibe,Jordon Ibe,17-18,90.0,1
Ahmed El-Sayed Hegazy,Ahmed El-Sayed Hegazi,17-18,95.23809523809523,1
Matthew Phillips,Matt Phillips,17-18,89.65517241379311,1
Ramadan Sobhy Ahmed,Ramadan Sobhi,17-18,75.0,1
Chung-Yong Lee,Chung-yong Lee,17-18,100.0,1
Ashley Roy Westwood,Ashley Westwood,17-18,88.23529411764706,1
José Heriberto Izquierdo,José Heriberto Izquierdo Mena,17-18,90.56603773584906,1
Renato Júnior Luz Sanches,Renato Sanches,17-18,71.7948717948718,1
Ilkay Gundogan,Ilkay Gündogan,17-18,92.85714285714286,1
Victor Nilsson-Lindelof,Victor Lindelöf,17-18,73.68421052631578,1
Sung-Yueng Ki,Sung-yueng Ki,17-18,100.0,1
Phillip Bardsley,Phil Bardsley,17-18,89.65517241379311,1
Georges-Kévin Nkoudou Mbida,Georges-Kévin Nkoudou,17-18,87.5,1
Daniel Ward,Danny Ward,18-19,76.19047619047619,1
David Hoilett,David Junior Hoilett,18-19,78.78787878787878,1
Bobby DeCordova-Reid,Bobby Reid,18-19,66.66666666666666,1
Souleymane Bamba,Sol Bamba,18-19,72.0,1
Sergio Aguero,Sergio Agüero,18-19,92.3076923076923,1
Ilkay Gundogan,Ilkay Gündogan,18-19,92.85714285714286,1
Mesut Ozil,Mesut Özil,18-19,90.0,1
Patrick Van Aanholt,Patrick van Aanholt,18-19,100.0,1
Andre Schürrle,André Schürrle,18-19,92.85714285714286,1
Kouassi Ryan Sessegnon,Ryan Sessegnon,18-19,77.77777777777779,1
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,18-19,79.06976744186046,1
Javier Hernández,Javier Hernández Balcázar,18-19,78.04878048780488,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,18-19,60.0,1
Sadio Mane,Sadio Mané,18-19,90.0,1
Onyinye Wilfred Ndidi,Wilfred Ndidi,18-19,76.47058823529412,1
Victor Nilsson-Lindelof,Victor Lindelöf,18-19,73.68421052631578,1
David De Gea,David de Gea,18-19,100.0,1
Moussa Dembélé,Mousa Dembélé,18-19,96.29629629629629,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,18-19,68.75,1
Cedric Ricardo Alves Soares,Cédric Soares,18-19,60.0,1
Ashley Roy Westwood,Ashley Westwood,18-19,88.23529411764706,1
Oriol Romeu,Oriol Romeu Vidal,18-19,78.57142857142857,1
Mohammed Elyounoussi,Mohamed Elyounoussi,18-19,97.43589743589743,1
João Moutinho,João Filipe Iria Santos Moutinho,18-19,57.77777777777777,1
Helder Costa,Hélder Costa,18-19,91.66666666666666,1
Diogo José Teixeira da Silva,Diogo Jota,18-19,52.63157894736842,1
Raul Alonso Jimenez Rodriguez,Raúl Jiménez,18-19,48.78048780487805,1
Leonardo Bonatini Lohner Maia,Bonatini Lohner Maia Bonatini,18-19,68.96551724137932,1
Ramadan Sobhy Ahmed,Ramadan Sobhi,18-19,75.0,1
Lucas Pérez Martínez,Lucas Pérez,18-19,70.96774193548387,1
Jordan Ibe,Jordon Ibe,18-19,90.0,1
Luis Antonio Valencia,Antonio Valencia,18-19,86.48648648648648,1
Sung-Yueng Ki,Sung-yueng Ki,18-19,100.0,1
Phillip Bardsley,Phil Bardsley,18-19,89.65517241379311,1
Ashley Richards,Ashley Darel Jazz Richards,18-19,73.17073170731707,1
Greg Cunningham,Greg Cunninghamm,18-19,96.7741935483871,1
Romain Saiss,Romain Saïss,18-19,91.66666666666666,1
José Heriberto Izquierdo,José Heriberto Izquierdo Mena,18-19,90.56603773584906,1
Francesc Fábregas,Cesc Fàbregas,18-19,80.0,1
Robert Brady,Robbie Brady,18-19,83.33333333333334,1
Sergio Rico González,Sergio Rico,18-19,70.96774193548387,1
Caglar Söyüncü,Çaglar Söyüncü,18-19,92.85714285714286,1
Yann Valery,Yan Valery,18-19,95.23809523809523,1
Georges-Kévin Nkoudou Mbida,Georges-Kévin Nkoudou,18-19,87.5,1
Havard Nordtveit,Håvard Nordtveit,18-19,93.75,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,19-20,60.0,1
Kenneth McLean,Kenny McLean,19-20,84.61538461538461,1
Sadio Mane,Sadio Mané,19-20,90.0,1
Ashley Roy Westwood,Ashley Westwood,19-20,88.23529411764706,1
Yann Valery,Yan Valery,19-20,95.23809523809523,1
Oriol Romeu,Oriol Romeu Vidal,19-20,78.57142857142857,1
Patrick Van Aanholt,Patrick van Aanholt,19-20,100.0,1
João Moutinho,João Filipe Iria Santos Moutinho,19-20,57.77777777777777,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,19-20,68.75,1
Raul Alonso Jimenez Rodriguez,Roberto Jimenez Gago,19-20,53.06122448979592,1
Onyinye Wilfred Ndidi,Wilfred Ndidi,19-20,76.47058823529412,1
